Date,Description,Amount,Category,Flag
2024-01-02,ADP PAYROLL RUN 01022024 - FULL STAFF,38750.00,,
2024-01-02,ADP EMPLOYER TAX REMITTANCE 01022024,5312.00,,
2024-01-03,WEWORK - 400 W GEORGIA ST - JAN RENT,6800.00,,
2024-01-03,WEWORK - PARKING STALL A-14 JAN,280.00,,
2024-01-04,GOOGLE ADS - ACCOUNT 8834421 JAN,4200.00,Advertising & Marketing,
2024-01-04,META ADS MANAGER - NORTHGATE_JAN24,3100.00,Advertising & Marketing,
2024-01-05,JANE SMITH DESIGN - INV #JS-2024-001,4500.00,,
2024-01-05,MARK LEE COPY - INV #ML-044,2800.00,,
2024-01-06,AWS - MONTHLY USAGE DEC23 CHARGED JAN,1847.32,,
2024-01-07,SHOPIFY PLUS - MONTHLY PLATFORM FEE,2000.00,,
2024-01-07,SHOPIFY - TRANSACTION FEE REVERSAL,-124.50,,
2024-01-08,ADOBE CC TEAM - 12 SEATS,1788.00,Software & Subscriptions,
2024-01-08,ADOBE STOCK - 10 IMAGES JAN,79.99,Software & Subscriptions,
2024-01-09,DELTA AIRLINES 0062341 - TORONTO YYZ,890.00,,
2024-01-09,DELTA AIRLINES 0062342 - TORONTO YYZ,890.00,,
2024-01-09,DELTA TRAVEL INSURANCE - CERT 88421,42.00,,
2024-01-10,WESTIN TORONTO - 2 ROOMS 2 NIGHTS,1240.00,,
2024-01-10,WESTIN TORONTO - MINIBAR + ROOM SVC,186.40,,
2024-01-10,UBER CA TORONTO - AIRPORT TRANSFER,67.80,,
2024-01-11,CLIENT DINNER - CANOE RESTAURANT TO,1240.00,Meals & Entertainment,Meals & entertainment - only 50% tax deductible
2024-01-11,CLIENT GIFT - TIFFANY & CO TORONTO,380.00,,
2024-01-12,SLACK - ANNUAL PLAN - 25 USERS,3750.00,Software & Subscriptions,
2024-01-12,NOTION - TEAM PLAN 20 SEATS,480.00,Software & Subscriptions,
2024-01-13,STAPLES BUSINESS - ORDER #44821,642.18,,
2024-01-14,PUROLATOR - BATCH SHIPMENT #99421,189.44,,
2024-01-15,ADP PAYROLL RUN 01152024 - FULL STAFF,38750.00,,
2024-01-15,ADP EMPLOYER TAX REMITTANCE 01152024,5312.00,,
2024-01-15,INTERAC E-TRANSFER - SARA OKONKWO,3200.00,,
2024-01-16,LINKEDIN ADS - CAMPAIGN Q1-BRAND,2100.00,Advertising & Marketing,
2024-01-16,LINKEDIN PREMIUM - 5 SEATS,799.95,Software & Subscriptions,
2024-01-17,SPOTIFY FOR BUSINESS - OFFICE,14.99,,
2024-01-17,NETFLIX - OFFICE ACCOUNT,22.99,,
2024-01-18,GOOGLE WORKSPACE - 30 SEATS,360.00,Software & Subscriptions,
2024-01-18,ZOOM BUSINESS - 25 HOSTS,500.00,Software & Subscriptions,
2024-01-19,HUBSPOT MARKETING HUB - PROFESSIONAL,890.00,Software & Subscriptions,
2024-01-19,HUBSPOT - ONBOARDING FEE - ONE TIME,3000.00,,
2024-01-21,PETTY CASH REIMBURSEMENT - T.CHEN,247.83,,
2024-01-22,PETTY CASH REIMBURSEMENT - R.PATEL,198.44,,
2024-01-23,COMCAST BUS INTERNET + PHONE JAN,389.00,,
2024-01-23,ROGERS WIRELESS - 8 LINES JAN,640.00,,
2024-01-24,AMEX CORPORATE ANNUAL FEE,550.00,,
2024-01-24,RBC BUSINESS ACCOUNT FEE JAN,54.00,,
2024-01-24,RBC WIRE TRANSFER - VENDOR PAYMENT,2400.00,,
2024-01-25,VENDOR PAYMENT - PRINTCRAFT INC,4200.00,,
2024-01-25,TEAM LUNCH - WHOLE FOODS CATERING,320.00,Meals & Entertainment,Meals & entertainment - only 50% tax deductible
2024-01-26,VOLUNTEER DAY EXPENSES - RECEIPT,94.50,,
2024-01-27,AMAZON BUSINESS - OFFICE SUPPLIES,389.21,,
2024-01-28,IKEA BUSINESS - OFFICE FURNITURE,2840.00,,
2024-01-29,ADP PAYROLL RUN 01292024 - FULL STAFF,38750.00,,
2024-01-29,ADP EMPLOYER TAX REMITTANCE 01292024,5312.00,,
2024-01-29,CONSULTANT - JASON MERCER - INV #JM-7,6500.00,,
2024-01-30,INSURANCE - COMMERCIAL LIABILITY Q1,1800.00,,
2024-01-30,INSURANCE - CYBER RISK POLICY Q1,1200.00,,
2024-01-31,STRIPE FEES - JAN PROCESSING,934.12,,
2024-01-31,SHOPIFY - THEME PURCHASE,300.00,,
2024-01-31,AWS - PARTIAL CREDIT APPLIED,-200.00,,
2024-02-01,ADP PAYROLL RUN 02012024 - FULL STAFF,38750.00,,
2024-02-01,ADP EMPLOYER TAX REMITTANCE 02012024,5312.00,,
2024-02-01,WEWORK - 400 W GEORGIA ST - FEB RENT,6800.00,,
2024-02-01,WEWORK - PARKING STALL A-14 FEB,280.00,,
2024-02-02,GOOGLE ADS - ACCOUNT 8834421 FEB,5800.00,Advertising & Marketing,
2024-02-02,META ADS MANAGER - NORTHGATE_FEB24,4900.00,Advertising & Marketing,
2024-02-03,JANE SMITH DESIGN - INV #JS-2024-002,4500.00,,
2024-02-03,MARK LEE COPY - INV #ML-045,2800.00,,
2024-02-04,AWS - MONTHLY USAGE JAN24,2241.88,,
2024-02-05,TIKTOK ADS - NORTHGATE Q1 CAMPAIGN,2200.00,Advertising & Marketing,
2024-02-05,PINTEREST ADS - NORTHGATE FEB,800.00,Advertising & Marketing,
2024-02-06,DELTA AIRLINES 0072201 - VANCOUVER,620.00,,
2024-02-06,AIRBNB - VANCOUVER CONF 3 NIGHTS,890.00,,
2024-02-07,CONFERENCE REGISTRATION - CMTO 2024,2400.00,,
2024-02-07,CONFERENCE - CMTO GALA DINNER,180.00,Meals & Entertainment,Meals & entertainment - only 50% tax deductible
2024-02-08,INTERAC E-TRANSFER - SARA OKONKWO,3200.00,,
2024-02-08,FREELANCER.COM - INV #F-88421 P.NGUYEN,1600.00,,
2024-02-09,SHOPIFY PLUS - MONTHLY PLATFORM FEE,2000.00,,
2024-02-09,SHOPIFY - APP STORE - KLAVIYO,300.00,,
2024-02-09,SHOPIFY - APP STORE - RECHARGE,200.00,,
2024-02-10,CHATGPT PLUS - 10 SEATS,200.00,,
2024-02-10,MIDJOURNEY - TEAM PLAN,96.00,,
2024-02-10,ANTHROPIC CLAUDE - API USAGE JAN,312.44,,
2024-02-11,STRIPE FEES - JAN RECONCILED,934.12,,
2024-02-11,STRIPE FEES - JAN PROCESSING,-934.12,,
