Date,Description,Amount,Category,Flag
2024-02-01,ADP Payroll Processing - Staff Salaries,12500.00,Payroll,none
2024-02-01,WeWork Office Lease - February,3200.00,Rent & Facilities,none
2024-02-02,Google Ads Campaign - February,2650.00,Advertising & Marketing,none
2024-02-04,Meta Ads Manager - February Budget,1950.00,Advertising & Marketing,none
2024-02-05,Jane Smith - Contractor Invoice #1042,2100.00,Contractor / Professional Services,Contractor — issue 1099 if annual total exceeds $600
2024-02-06,AWS Cloud Services - February,334.00,Utilities & Hosting,none
2024-02-07,Figma Professional - Team Plan,135.00,Software & Subscriptions,none
2024-02-08,Client Breakfast - Four Seasons,195.00,Meals & Entertainment,Meals & entertainment — only 50% tax deductible
2024-02-09,Southwest Airlines - Client Visit Chicago,320.00,Travel,none
2024-02-10,Mark Lee - Contractor Invoice #78,4200.00,Contractor / Professional Services,Contractor — issue 1099 if annual total exceeds $600
2024-02-12,Staples - Printer Cartridges,87.44,Office Supplies,none
2024-02-13,Chase Bank - Overdraft Fee,34.00,Bank & Finance Charges,Overdraft fee — review cash flow timing
2024-02-14,Sara Okonkwo - Contractor Invoice #23,2400.00,Contractor / Professional Services,Contractor — issue 1099 if annual total exceeds $600
2024-02-14,Valentine Campaign - Promoted Posts,550.00,Advertising & Marketing,none
2024-02-15,ADP Payroll Processing - Staff Salaries,12500.00,Payroll,none
2024-02-16,Slack Pro - Monthly,87.50,Software & Subscriptions,none
2024-02-17,Team Building Activity - Escape Room,320.00,Meals & Entertainment,Large entertainment spend — retain receipt
2024-02-19,Adobe Creative Cloud - Team,599.00,Software & Subscriptions,none
2024-02-20,Zoom Business Plan - Monthly,166.50,Software & Subscriptions,none
2024-02-21,LinkedIn Premium - 3 seats,159.99,Software & Subscriptions,none
2024-02-22,Uber for Business - Client Visits,94.20,Travel,none
2024-02-23,Google Workspace - 10 seats,120.00,Software & Subscriptions,none
2024-02-24,HubSpot CRM - Monthly,890.00,Software & Subscriptions,none
2024-02-25,Comcast Business Internet,189.00,Utilities & Hosting,none
2024-02-26,Chase Bank - Wire Transfer Fee,35.00,Bank & Finance Charges,none
2024-02-27,New Hire Equipment - Laptop,1450.00,Office Supplies,Large purchase — consider capitalizing as fixed asset
2024-02-28,ADP Payroll Processing - Staff Salaries,12500.00,Payroll,none
2024-02-28,Miscellaneous - Parking Fees,45.00,Miscellaneous,none
2024-02-29,Notion Team Plan,24.00,Software & Subscriptions,none
